Timberland Bands,,,,
Budget Vs Actual Report,,,,
07-01-2025 To 04-29-2026,,,,
Account,,Budget,Actual,Variance
Income,,,,
"Contributions, Gifts or Grants - Income",,,,
,Donations - Income,0,17938.41,17938.41
,Donations Received - Winter Guard - Income,1956.6,6903.49,4946.8900000000003
,Grants - Income,0,1000,1000
"Total Contributions, Gifts or Grants",,1956.6,25841.9,23885.3
Programs - Income,,,,
,Apparel/Formal Wear Income - Income,6360,6281.44,-78.56
Total Programs,,6360,6281.44,-78.56
Membership Dues - Income,,,,
,Membership Fees - Income,62775,27367,-35408
,Winter Guard Fees - Income,15300,11448.25,-3851.75
Total Membership Dues,,78075,38815.25,-39259.75
Fundraising - Income,,,,
,Fundraising Non-gaming - Income,52838.91,12903.17,-39935.74
,Mum Sales - Income,0,3765,3765
,Midwest Marching Percussion Classic - Income,0,12169,12169
,Trivia Night - Income,0,6113,6113
Total Fundraising,,52838.91,34950.17,-17888.740000000002
Merchandise - Income,,,,
,BoosterHub Merch - Income,0,107,107
,Family Show Shirts - Income,2000,2539.2600000000002,539.26
,Credit Card Fees - Income,0,2456.1,2456.1
Total Merchandise,,2000,5102.3599999999997,3102.36
Other Income - Income,,1440,1485,45
,Credit Card Rewards - Income,1000,981.47,-18.53
,Honor Band/Solo & Ensemble Fees - Income,600,600,0
,Interest Income - Income,0.12,0.09,-0.03
,Raise Right - Boosters Income - Income,0,1073.96,1073.96
,Raise Right - Student Income - Income,0,4295.58,4295.58
,Trip Income - Income,0,113464.28,113464.28
Total Other Income,,3040.12,121900.38,118860.26
Total Income,,144270.63,232891.5,88620.87
Expense,,,,
Programs - Expense,,,,
,Apparel Expense - Expense,5120,5604.79,484.79
,Band Camp Professional Fees - Expense,27000,22875,-4125
,Band Family BBQ - Expense,250,229.5,-20.5
,Band Instructor/Tech - Expense,9150,8400,-750
,Copyright Fee - Expense,1500,894.4,-605.6
,Guard Instructor/Tech - Expense,3150,2507.9499999999998,-642.04999999999995
,Leadership Shirts - Expense,950,897.8,-52.2
,Miscellaneous Band Camp Expense - Expense,450,119.47,-330.53
,Staff Polo Shirts - Expense,150,44.69,-105.31
,Banquet Decorations and Cake - Expense,200,0,-200
,Banquet Food Supplies - Expense,200,0,-200
,Banquet Rental - Expense,750,0,-750
,Senior Gifts and Flowers - Expense,1250,0,-1250
,Concert Festival Fees - Expense,350,1920,1570
,Food for Audition Judges - Expense,175,140,-35
,Formal Wear - Expense,1900,3181.95,1281.95
,Jazz Band Festival - Expense,600,395,-205
,MSHSAA - Medals - Expense,600,0,-600
,Tuxedo Coat Cleaning - Expense,500,186,-314
,Tuxedo Jackets - Expense,200,0,-200
,Bands of America Entry Fee and Parking - Expense,2300,1225,-1075
,Charter Busses - Expense,8000,8566.0400000000009,566.04
,Drum Major Camp - Expense,1900,0,-1900
,Fall Color Guard Flags and Design - Expense,4150,3570,-580
,Fall Color Guard Uniforms - Expense,5500,5905.46,405.46
,Food - Marching Competitions - Expense,3000,3123.09,123.09
,Marching and Guard Gloves - Expense,450,390.63,-59.37
,Marching Competition Uniforms - Expense,12640,14089.5,1449.5
,Marching Festival Fees - Expense,650,650,0
,Marching Field Props - Expense,800,797.07,-2.93
,Miscellaneous Marching Expense - Expense,700,667.45,-32.549999999999997
,Student Leadership Workshop - Expense,3750,0,-3750
,Student/Staff Show Shirts - Expense,2000,1836,-164
,Trailer Insurance - Expense,650,683,33
,Trailer Maintenance - Expense,2000,641.58000000000004,-1358.42
,Trailer Storage - Expense,1300,140,-1160
,Truck Rental and Fuel - Expense,3000,607.86,-2392.14
,Uniform Cleaning - Expense,1000,624,-376
Total Programs,,108235,90913.23,-17321.77
Fundraising - Expense,,,,
,Fundraising Non-gaming - Expense,10067.780000000001,2674.21,-7393.57
,Holiday Craft and Music Market - Expense,0,237.49,237.49
,Midwest Marching Percussion Classic - Expense,0,4967.8500000000004,4967.8500000000004
,Trivia Night - Expense,0,692.32,692.32
Total Fundraising,,10067.780000000001,8571.8700000000008,-1495.91
Merchandise COGS - Expense,,,,
,BoosterHub Merch - Expense,0,71.59,71.59
,Family Show Shirts - Expense,2000,2447,447
Total Merchandise COGS,,2000,2518.59,518.59
Other Expenses - Expense,,,,
,Bank Service Charges - Expense,0,137.93,137.93
,Clinicians - Professional Music Group - Expense,1000,1005,5
,CPA Fees - Expense,1000,906.3,-93.7
,Credit Card Fees - Expense,400,2532.6,2132.6
,Directors' Expense - Expense,1000,477.54,-522.46
,Equipment Purchases - Expense,390,0,-390
,Gifts - Expense,100,0,-100
,Honor Band / Solo-Ensemble Expense - Expense,600,615,15
,Indoor Percussion Expenses - Expense,0,4114.8,4114.8
,Miscellaneous Expenditures - Expense,500,875.86,375.86
,Phyllis Hoing Memorial Scholarship - Expense,500,0,-500
,State Registration - MO License - Expense,11.25,10.5,-0.75
,Subscriptions - Expense,1210,1210,0
,Trip Expense - Expense,0,112851.33,112851.33
,Winter Guard Expenses - Expense,13081.6,11585.9,-1495.7
,Winter Guard Drill Design - Expense,3500,3500,0
,Winter Guard MCCGA/WGI Fees - Expense,675,675,0
Total Other Expenses,,23967.85,140497.76,116529.91
Total Expense,,144270.63,242501.45,98230.82
Net Income,,0,-9609.9500000000007,-9609.9500000000007
