year,row,account,budget,actual,variance
2024-25,1,Timberland Bands,0.0,0.0,0.0
2024-25,2,Budget Vs Actual Report,0.0,0.0,0.0
2024-25,3,07-01-2024 To 06-30-2025,0.0,0.0,0.0
2024-25,4,Budget,0.0,0.0,0.0
2024-25,5,Account,0.0,0.0,0.0
2024-25,7,"Contributions, Gifts or Grants - Income",0.0,0.0,0.0
2024-25,8,Donations - Income,4200.0,12567.67,8367.67
2024-25,9,Donations Received - Indoor Percussion - Income,16044.0,20565.0,4521.0
2024-25,10,Donations Received - Winter Guard - Income,6520.0,4941.6,-1578.4
2024-25,11,"Total Contributions, Gifts or Grants",26764.0,38074.27,11310.27
2024-25,12,Programs - Income,0.0,0.0,0.0
2024-25,13,Apparel/Formal Wear Income - Income,19900.0,17676.38,-2223.62
2024-25,14,Total Programs,19900.0,17676.38,-2223.62
2024-25,15,Membership Dues - Income,0.0,0.0,0.0
2024-25,16,Indoor Percussion Fees - Income,27200.0,25238.43,-1961.57
2024-25,17,Membership Fees - Income,43515.0,60485.87,16970.87
2024-25,18,Winter Guard Fees - Income,11900.0,10588.96,-1311.04
2024-25,19,Total Membership Dues,82615.0,96313.26,13698.26
2024-25,20,Fundraising - Income,0.0,0.0,0.0
2024-25,21,Fundraising Gaming - Income,40000.0,0.0,-40000.0
2024-25,22,Fundraising Non-gaming - Income,35532.13,3720.5,-31811.63
2024-25,23,Midwest Marching Percussion Classic - Income,0.0,13240.0,13240.0
2024-25,24,Trivia Night - Income,0.0,7001.0,7001.0
2024-25,25,Total Fundraising,75532.13,23961.5,-51570.63
2024-25,26,Merchandise - Income,0.0,0.0,0.0
2024-25,27,Family Show Shirts - Income,2300.0,0.0,-2300.0
2024-25,28,Credit Card Fees - Income,0.0,475.35,475.35
2024-25,29,Total Merchandise,2300.0,475.35,-1824.65
2024-25,30,Other Income - Income,0.0,0.0,0.0
2024-25,31,Credit Card Rewards - Income,1000.0,1306.93,306.93
2024-25,32,Honor Band/Solo & Ensemble Fees - Income,1000.0,500.68,-499.32
2024-25,33,Interest Income - Income,0.12,0.12,0.0
2024-25,34,Raise Right - Boosters Income - Income,0.0,1283.47,1283.47
2024-25,35,Raise Right - Student Income - Income,0.0,5138.86,5138.86
2024-25,36,Total Other Income,2000.12,8230.06,6229.94
2024-25,37,Total Income,209111.25,296865.99,87754.74
2024-25,39,Programs - Expense,0.0,0.0,0.0
2024-25,40,Apparel Expense - Expense,24620.0,25115.25,495.25
2024-25,41,Band Camp Professional Fees - Expense,28220.0,24625.0,-3595.0
2024-25,42,Band Family BBQ - Expense,250.0,130.79,-119.21
2024-25,43,Band Instructor/Tech - Expense,7150.0,7400.0,250.0
2024-25,44,Guard Instructor/Tech - Expense,2900.0,3650.0,750.0
2024-25,45,Leadership Shirts - Expense,850.0,924.05,74.05
2024-25,46,Miscellaneous Band Camp Expense - Expense,450.0,50.0,-400.0
2024-25,47,Banquet - Expense,1000.0,879.22,-120.78
