Line,2024-25 Actual,2024-25 Budget,Variance,Variance %,2025-26 Budget,Comment
Total 13000 · FUNDRAISER INCOME,10488.14,78732.13,-68243.99,-87%,52838.91,
Total Expense,169364.13,215111.25,-45747.119999999995,-21%,127014.032,
1550 · Fundraiser Income - Car Raffle,0.0,40000.0,-40000.0,-100%,0.0,
Total 13001 · FUNDRAISER EXPENSE,3756.14,42200.0,-38443.86,-91%,10067.782,
1551 · Fundraiser Expense - Car Raffle,0.0,35000.0,-35000.0,-100%,0.0,
Total 16000 · OTHER INCOME,67762.28,35714.12,32048.159999999996,+90%,5100.12,
1300 · Fundraiser Income - Boosters,10488.14,35532.13,-25043.989999999998,-70%,50338.91,
1650 · Percussion Competition Income,13240.0,0.0,13240.0,—,0.0,
1800 · Donations Received - Cash,12567.67,1000.0,11567.67,+1157%,0.0,
1000 · Registration Fees,27060.77,19400.0,7660.77,+39%,62775.0,$650 x 74 band; $750 x 20 color guard (10% sibling discount x 5)
5010 · Drumline Competition,6429.51,0.0,6429.51,—,,
1601 · Scrip Card Income - Students,5138.86,0.0,5138.86,—,0.0,
1802 · Donations Received -Indoor Perc,20565.0,16044.0,4521.0,+28%,0.0,
Total 20000 · BAND CAMP,38503.23,42460.0,-3956.769999999997,-9%,44320.0,
Total 40000 · FALL COLOR GUARD,325.0,4250.0,-3925.0,-92%,4250.0,
5055 · Marching Field Props,2219.1,6000.0,-3780.9,-63%,800.0,
1010 · Family Operations Fees,20336.4,24115.0,-3778.5999999999985,-16%,0.0,
4000 · Flag Silks,325.0,4100.0,-3775.0,-92%,4100.0,
Total 50000 · MARCHING BAND,27191.29,23500.0,3691.290000000001,+16%,25300.0,
1301 · Fundraiser Expense - Boosters,3756.14,7100.0,-3343.86,-47%,10067.782,20% of line 16
1400 · Cake Auction Income,0.0,3200.0,-3200.0,-100%,2500.0,
Total 46000 · Indoor Percussion,40838.63,43244.0,-2405.3700000000026,-6%,0.0,
Total 90000 · APPAREL INCOME,9007.75,11050.0,-2042.25,-18%,5700.0,
4630 · Props,0.0,2000.0,-2000.0,-100%,0.0,
3008 · Sound Design,0.0,2000.0,-2000.0,-100%,2000.0,
1020 · Indoor Percussion Fees,25238.43,27200.0,-1961.5699999999997,-7%,0.0,
8070 · Subscriptions,3100.0,1261.0,1839.0,+146%,1210.0,"(1) yr $1,100 Boosterhub -April 2026; $110 Sams Club -August 2026"
9010 · Guard Uniform Fees Collected,3547.98,5250.0,-1702.02,-32%,0.0,
1803 · Donations Received -Winter Guard,4941.6,6520.0,-1578.3999999999996,-24%,0.0,
Total 45000 · WINTER GUARD,19630.01,18420.0,1210.0099999999984,+7%,0.0,
Total 10000 · STUDENT FEE INCOME,83527.56,82615.0,912.5599999999977,+1%,62775.0,
Total 60000 · CONCERT SEASON,1669.75,2410.0,-740.25,-31%,2750.0,
Total 90051 · LEADERSHIP / HONOR BAND EXPENSE,3732.33,4400.0,-667.6700000000001,-15%,4350.0,
Total 70000 · END OF YEAR,1411.66,2000.0,-588.3399999999999,-29%,1900.0,
Total 90050 · LEADERSHIP / HONOR BAND INCOME,500.68,1000.0,-499.32,-50%,600.0,
