budget_line,budget_2025_26_structure,actual_2025_26_ytd_0429,variance_2025_26_ytd_0429,actual_2024_25,variance_2024_25,story_flag,actuals_comment
Total Other Income,3040.12,121900.38,118860.26,67762.28,32048.159999999996,25-26 material variance,
Total Other Expenses,23967.85,140497.76,116529.91,,,25-26 material variance,
Trip Income - Income,0.0,113464.28,113464.28,,,25-26 actual exists but budget zero; 25-26 material variance; trip/pass-through distorts total picture,
Trip Expense - Expense,0.0,112851.33,112851.33,,,25-26 actual exists but budget zero; 25-26 material variance; trip/pass-through distorts total picture,
Total Expense,144270.63,242501.45,98230.82,169364.13,-45747.119999999995,25-26 material variance,
Total Income,144270.63,232891.5,88620.87,,,25-26 material variance,
Fundraising Non-gaming - Income,52838.91,12903.17,-39935.74,10488.14,-25043.989999999998,25-26 material variance,Compare against actual fundraiser performance; do not use budget as reality.
Total Membership Dues,78075.0,38815.25,-39259.75,83527.56,912.5599999999977,25-26 material variance,
Membership Fees - Income,62775.0,27367.0,-35408.0,83527.56,912.5599999999977,25-26 material variance,Comparable actual is total legacy student-fee income; 26-27 line consolidates registration/family/activity fees.
"Total Contributions, Gifts or Grants",1956.6,25841.9,23885.3,67762.28,32048.159999999996,25-26 material variance,
Donations - Income,0.0,17938.41,17938.41,12567.67,11567.67,25-26 actual exists but budget zero; 25-26 material variance,
Total Programs,108235.0,90913.23,-17321.77,9007.75,-2042.25,25-26 material variance,
Total Programs,108235.0,90913.23,-17321.77,9007.75,-2042.25,25-26 material variance,
Midwest Marching Percussion Classic - Income,0.0,12169.0,12169.0,13240.0,13240.0,25-26 actual exists but budget zero; 25-26 material variance,
Net Income,0.0,-9609.95,-9609.95,,,25-26 actual-only line; validate scope/tag,Added from 2025-26 YTD actuals through 4/29/26
Fundraising Non-gaming - Expense,10067.78,2674.21,-7393.57,,,25-26 material variance,Compare against actual fundraiser performance; do not use budget as reality.
Trivia Night - Income,0.0,6113.0,6113.0,,,25-26 actual exists but budget zero; 25-26 material variance,
Midwest Marching Percussion Classic - Expense,0.0,4967.85,4967.85,,,25-26 actual exists but budget zero,
Donations Received - Winter Guard - Income,1956.6,6903.49,4946.89,4941.6,-1578.3999999999996,,
Raise Right - Student Income - Income,0.0,4295.58,4295.58,5138.86,5138.86,25-26 actual exists but budget zero,
Band Camp Professional Fees - Expense,27000.0,22875.0,-4125.0,,,,
Indoor Percussion Expenses - Expense,0.0,4114.8,4114.8,40838.63,-2405.3700000000026,25-26 actual exists but budget zero,"Major scope issue: 2024-25 actuals show indoor percussion activity, but 25-26/26-27 structure has $0."
Winter Guard Fees - Income,15300.0,11448.25,-3851.75,10891.96,-1008.0400000000009,,
Mum Sales - Income,0.0,3765.0,3765.0,,,25-26 actual-only line; validate scope/tag,Added from 2025-26 YTD actuals through 4/29/26
Student Leadership Workshop - Expense,3750.0,0.0,-3750.0,3027.33,-372.6700000000001,,
Total Merchandise,2000.0,5102.36,3102.36,9007.75,-2042.25,,
Credit Card Fees - Income,0.0,2456.1,2456.1,,,25-26 actual exists but budget zero,
Truck Rental and Fuel - Expense,3000.0,607.86,-2392.14,0.0,0.0,,
Credit Card Fees - Expense,400.0,2532.6,2132.6,149.93,-1150.07,,
Drum Major Camp - Expense,1900.0,0.0,-1900.0,1875.0,-25.0,,
Concert Festival Fees - Expense,350.0,1920.0,1570.0,0.0,-350.0,,
Total Fundraising,10067.78,8571.87,-1495.91,10488.14,-68243.99,,Compare against actual fundraiser performance; do not use budget as reality.
Total Fundraising,10067.78,8571.87,-1495.91,10488.14,-68243.99,,Compare against actual fundraiser performance; do not use budget as reality.
Winter Guard Expenses - Expense,13081.6,11585.9,-1495.7,19630.01,1210.0099999999984,,
Marching Competition Uniforms - Expense,12640.0,14089.5,1449.5,,,,
Trailer Maintenance - Expense,2000.0,641.58,-1358.42,7217.66,217.65999999999985,,
Formal Wear - Expense,1900.0,3181.95,1281.95,,,,
Senior Gifts and Flowers - Expense,1250.0,0.0,-1250.0,,,,
Trailer Storage - Expense,1300.0,140.0,-1160.0,1210.0,-90.0,,
Bands of America Entry Fee and Parking - Expense,2300.0,1225.0,-1075.0,490.0,-10.0,,
Raise Right - Boosters Income - Income,0.0,1073.96,1073.96,1283.47,1283.47,25-26 actual exists but budget zero,
Grants - Income,0.0,1000.0,1000.0,,,25-26 actual exists but budget zero,
Trivia Night - Expense,0.0,692.32,692.32,,,25-26 actual exists but budget zero,
Total Merchandise COGS,2000.0,2518.59,518.59,,,,
Holiday Craft and Music Market - Expense,0.0,237.49,237.49,,,25-26 actual exists but budget zero,
Bank Service Charges - Expense,0.0,137.93,137.93,,,25-26 actual exists but budget zero,
BoosterHub Merch - Income,0.0,107.0,107.0,,,25-26 actual exists but budget zero,
BoosterHub Merch - Expense,0.0,71.59,71.59,,,25-26 actual exists but budget zero,
Other Income - Income,1440.0,1485.0,45.0,,,25-26 actual-only line; validate scope/tag,Added from 2025-26 YTD actuals through 4/29/26
