section,group,budget_line,proposed_2026_27,budget_2025_26_structure,budget_note,comparable_actual_line,actual_2023_24,budget_2023_24,actual_2024_25,budget_2024_25,variance_2024_25,actuals_comment
Income,"Contributions, Gifts or Grants - Income",Donations - Income,,0.0,,1800 · Donations Received - Cash,2162.0,1000.0,12567.67,1000.0,11567.67,
Income,"Contributions, Gifts or Grants - Income",Donations Received - Indoor Percussion - Income,,0.0,,1802 · Donations Received -Indoor Perc,1300.0,0.0,20565.0,16044.0,4521.0,"Major scope issue: 2024-25 actuals show indoor percussion activity, but 25-26/26-27 structure has $0."
Income,"Contributions, Gifts or Grants - Income",Donations Received - Winter Guard - Income,,1956.6,,1803 · Donations Received -Winter Guard,0.0,0.0,4941.6,6520.0,-1578.3999999999996,
Income,"Contributions, Gifts or Grants - Income",Grants - Income,,0.0,,,,,,,,
Income,"Contributions, Gifts or Grants - Income",In-Kind Donations - Income,,0.0,,,,,,,,
Income,"Contributions, Gifts or Grants - Income","Total Contributions, Gifts or Grants",,1956.6,,Total 16000 · OTHER INCOME,31780.14,23000.12,67762.28,35714.12,32048.159999999996,
Income,Programs - Income,Apparel/Formal Wear Income - Income,,6360.0,,Total 90000 · APPAREL INCOME,7402.0,11220.0,9007.75,11050.0,-2042.25,
Income,Programs - Income,Banquet - Income,,0.0,,,,,,,,
Income,Programs - Income,Entry Fees/Tickets - Income,,0.0,,,,,,,,
Income,Programs - Income,Total Programs,,6360.0,,Total 90000 · APPAREL INCOME,7402.0,11220.0,9007.75,11050.0,-2042.25,
Income,Membership Dues - Income,Membership Fees - Income,,62775.0,how many students x fee,Total 10000 · STUDENT FEE INCOME,61400.12,71340.0,83527.56,82615.0,912.5599999999977,Comparable actual is total legacy student-fee income; 26-27 line consolidates registration/family/activity fees.
Income,Membership Dues - Income,Winter Guard Fees - Income,,15300.0,,1015 · Winter Guard Fees,12615.57,14820.0,10891.96,11900.0,-1008.0400000000009,
Income,Membership Dues - Income,Total Membership Dues,,78075.0,,Total 10000 · STUDENT FEE INCOME,61400.12,71340.0,83527.56,82615.0,912.5599999999977,
Income,Fundraising - Income,Fundraising Gaming - Income,,0.0,,,,,,,,Compare against actual fundraiser performance; do not use budget as reality.
Income,Fundraising - Income,Fundraising Non-gaming - Income,,52838.91,,1300 · Fundraiser Income - Boosters,28723.44,33639.66,10488.14,35532.13,-25043.989999999998,Compare against actual fundraiser performance; do not use budget as reality.
Income,Fundraising - Income,Midwest Marching Percussion Classic - Income,,0.0,,1650 · Percussion Competition Income,13198.5,11000.0,13240.0,0.0,13240.0,
Income,Fundraising - Income,Trivia Night - Income,,0.0,,,,,,,,
Income,Fundraising - Income,Total Fundraising,,52838.91,,Total 13000 · FUNDRAISER INCOME,55139.24,77639.66,10488.14,78732.13,-68243.99,Compare against actual fundraiser performance; do not use budget as reality.
