section,group,budget_line,proposed_2026_27,budget_2025_26_structure,actual_2025_26_ytd_0429,variance_2025_26_ytd_0429,actual_2024_25,budget_2024_25,variance_2024_25,actual_2023_24,budget_2023_24,budget_note,actuals_comment,story_flag
Income,"Contributions, Gifts or Grants - Income",Donations - Income,,0.0,17938.41,17938.41,12567.67,1000.0,11567.67,2162.0,1000.0,,,25-26 actual exists but budget zero; 25-26 material variance
Income,"Contributions, Gifts or Grants - Income",Donations Received - Indoor Percussion - Income,,0.0,,,20565.0,16044.0,4521.0,1300.0,0.0,,"Major scope issue: 2024-25 actuals show indoor percussion activity, but 25-26/26-27 structure has $0.",
Income,"Contributions, Gifts or Grants - Income",Donations Received - Winter Guard - Income,,1956.6,6903.49,4946.89,4941.6,6520.0,-1578.3999999999996,0.0,0.0,,,
Income,"Contributions, Gifts or Grants - Income",Grants - Income,,0.0,1000.0,1000.0,,,,,,,,25-26 actual exists but budget zero
Income,"Contributions, Gifts or Grants - Income",In-Kind Donations - Income,,0.0,,,,,,,,,,
Income,"Contributions, Gifts or Grants - Income","Total Contributions, Gifts or Grants",,1956.6,25841.9,23885.3,67762.28,35714.12,32048.159999999996,31780.14,23000.12,,,25-26 material variance
Income,Programs - Income,Apparel/Formal Wear Income - Income,,6360.0,6281.44,-78.56,9007.75,11050.0,-2042.25,7402.0,11220.0,,,
Income,Programs - Income,Banquet - Income,,0.0,,,,,,,,,,
Income,Programs - Income,Entry Fees/Tickets - Income,,0.0,,,,,,,,,,
Income,Programs - Income,Total Programs,,108235.0,90913.23,-17321.77,9007.75,11050.0,-2042.25,7402.0,11220.0,,,25-26 material variance
Income,Membership Dues - Income,Membership Fees - Income,,62775.0,27367.0,-35408.0,83527.56,82615.0,912.5599999999977,61400.12,71340.0,how many students x fee,Comparable actual is total legacy student-fee income; 26-27 line consolidates registration/family/activity fees.,25-26 material variance
Income,Membership Dues - Income,Winter Guard Fees - Income,,15300.0,11448.25,-3851.75,10891.96,11900.0,-1008.0400000000009,12615.57,14820.0,,,
Income,Membership Dues - Income,Total Membership Dues,,78075.0,38815.25,-39259.75,83527.56,82615.0,912.5599999999977,61400.12,71340.0,,,25-26 material variance
Income,Fundraising - Income,Fundraising Gaming - Income,,0.0,,,,,,,,,Compare against actual fundraiser performance; do not use budget as reality.,
Income,Fundraising - Income,Fundraising Non-gaming - Income,,52838.91,12903.17,-39935.74,10488.14,35532.13,-25043.989999999998,28723.44,33639.66,,Compare against actual fundraiser performance; do not use budget as reality.,25-26 material variance
Income,Fundraising - Income,Midwest Marching Percussion Classic - Income,,0.0,12169.0,12169.0,13240.0,0.0,13240.0,13198.5,11000.0,,,25-26 actual exists but budget zero; 25-26 material variance
Income,Fundraising - Income,Trivia Night - Income,,0.0,6113.0,6113.0,,,,,,,,25-26 actual exists but budget zero; 25-26 material variance
Income,Fundraising - Income,Total Fundraising,,10067.78,8571.87,-1495.91,10488.14,78732.13,-68243.99,55139.24,77639.66,,Compare against actual fundraiser performance; do not use budget as reality.,
Income,Merchandise - Income,BoosterHub Merch - Income,,0.0,107.0,107.0,,,,,,,,25-26 actual exists but budget zero
Income,Merchandise - Income,Family Show Shirts - Income,,2000.0,2539.26,539.26,1946.49,2300.0,-353.51,2340.0,2500.0,,,
Income,Merchandise - Income,Transaction Fees - Income,,0.0,,,,,,,,,,
Income,Merchandise - Income,Transaction Fees - Income,,0.0,,,,,,,,,,
Income,Merchandise - Income,Credit Card Fees - Income,,0.0,2456.1,2456.1,,,,,,,,25-26 actual exists but budget zero
Income,Merchandise - Income,Uncategorized Store Transactions - Income,,0.0,,,,,,,,,,
Income,Merchandise - Income,Total Merchandise,,2000.0,5102.36,3102.36,9007.75,11050.0,-2042.25,7402.0,11220.0,,,
Income,Other Income - Income,Credit Card Rewards - Income,,1000.0,981.47,-18.53,1306.93,1000.0,306.93000000000006,945.63,1000.0,,,
Income,Other Income - Income,Honor Band/Solo & Ensemble Fees - Income,,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Income,Other Income - Income,Interest Income - Income,,0.12,0.09,-0.03,,,,,,,,
Income,Other Income - Income,Raise Right - Boosters Income - Income,,0.0,1073.96,1073.96,1283.47,0.0,1283.47,1257.73,550.0,,,25-26 actual exists but budget zero
Income,Other Income - Income,Raise Right - Student Income - Income,,0.0,4295.58,4295.58,5138.86,0.0,5138.86,5464.96,1400.0,,,25-26 actual exists but budget zero
Income,Other Income - Income,Trip Income - Income,,0.0,113464.28,113464.28,,,,,,,,25-26 actual exists but budget zero; 25-26 material variance; trip/pass-through distorts total picture
Income,Other Income - Income,Total Other Income,,3040.12,121900.38,118860.26,67762.28,35714.12,32048.159999999996,31780.14,23000.12,,,25-26 material variance
Income,Other Income - Income,Total Income,,144270.63,232891.5,88620.87,,,,,,,,25-26 material variance
Income,Programs - Expense,Apparel Expense - Expense,,5120.0,5604.79,484.79,21012.86,20680.0,332.8600000000006,11127.28,16335.0,,,
Income,Programs - Expense,Band Camp - Expense,,0.0,,,38503.23,42460.0,-3956.769999999997,43716.93,44030.0,,,
Income,Programs - Expense,Band Camp Professional Fees - Expense,,27000.0,22875.0,-4125.0,,,,,,,,
Income,Programs - Expense,Band Family BBQ - Expense,,250.0,229.5,-20.5,,,,,,,,
Income,Programs - Expense,Band Instructor/Tech - Expense,,9150.0,8400.0,-750.0,,,,,,,,
Income,Programs - Expense,Copyright Fee - Expense,,1500.0,894.4,-605.6,852.8,700.0,152.79999999999995,558.0,650.0,,,
Income,Programs - Expense,Guard Instructor/Tech - Expense,,3150.0,2507.95,-642.05,,,,,,,,
Income,Programs - Expense,Leadership Shirts - Expense,,950.0,897.8,-52.2,,,,,,,,
Income,Programs - Expense,Miscellaneous Band Camp Expense - Expense,,450.0,119.47,-330.53,,,,,,,,
Income,Programs - Expense,Staff Polo Shirts - Expense,,150.0,44.69,-105.31,,,,,,,,
Income,Programs - Expense,Banquet - Expense,,0.0,,,,,,,,,,
Income,Programs - Expense,Banquet Decorations and Cake - Expense,,200.0,0.0,-200.0,,,,,,,,
Income,Programs - Expense,Banquet Food Supplies - Expense,,200.0,0.0,-200.0,0.0,200.0,-200.0,0.0,200.0,,,
Income,Programs - Expense,Banquet Rental - Expense,,750.0,0.0,-750.0,,,,,,,,
Income,Programs - Expense,Senior Gifts and Flowers - Expense,,1250.0,0.0,-1250.0,,,,,,,,
Income,Programs - Expense,Concert Season - Expense,,0.0,,,,,,,,,,
Income,Programs - Expense,Concert Festival Fees - Expense,,350.0,1920.0,1570.0,0.0,350.0,-350.0,350.0,0.0,,,
Income,Programs - Expense,Food for Audition Judges - Expense,,175.0,140.0,-35.0,0.0,175.0,-175.0,0.0,175.0,,,
Income,Programs - Expense,Formal Wear - Expense,,1900.0,3181.95,1281.95,,,,,,,,
